Session Duration,Bounce Rate,Page Views
1800,0.45,5
300,0.78,2
2400,0.32,8
60,0.91,1
1200,0.50,4
3600,0.20,15
120,0.85,1
450,0.65,3
900,0.40,6
2700,0.28,10
30,0.95,1
1500,0.48,5
600,0.55,4
1900,0.38,7
3200,0.22,12
800,0.60,3
200,0.75,2
2100,0.30,9
500,0.68,3
1300,0.42,6
75,0.88,1
2500,0.25,11
1000,0.52,4
1700,0.35,7
45,0.93,1
1400,0.47,5
3100,0.21,13
850,0.58,3
220,0.72,2
2800,0.27,10
650,0.62,4
1600,0.39,6
90,0.82,1
1100,0.44,5
3300,0.23,12
700,0.61,3
350,0.70,2
2300,0.29,9
950,0.53,4
1950,0.37,7
55,0.90,1
2900,0.26,11
1250,0.49,5
2000,0.33,8
3400,0.24,13
750,0.59,3
400,0.67,3
2600,0.28,10
1050,0.51,4
1550,0.41,6
100,0.86,1
