Packet_ID,Packet_Size,Duration
1,450,10
2,470,12
3,490,14
4,510,13
5,530,11
6,550,15
7,580,14
8,600,13
9,620,16
10,640,12
11,660,17
12,680,15
13,700,14
14,720,18
15,740,16
16,760,15
17,780,19
18,800,17
19,820,20
20,850,22
21,870,21
22,890,23
23,910,19
24,930,18
25,950,20
26,970,22
27,990,21
28,1010,24
29,1030,25
30,1050,23
31,1070,26
32,1090,27
33,1110,25
34,1130,28
35,1150,29
36,1170,30
37,1190,32
38,1210,35
39,1230,34
40,1250,33
41,5000,100
42,5200,110
43,5400,120
44,5600,130
45,5800,150
46,6000,170
47,6200,180
48,6400,200
49,6600,210
50,6800,230
